State_Abv,State_Loss
AK,64402
AL,35494154
AR,151894555
AZ,12962135
CA,542361665
CO,100121805
CT,1721451
DE,2296797
FL,37317276
GA,93216138
HI,215633
IA,142207674
ID,59347731
IL,450864704
IN,391340550
KS,342902570
KY,90530443
LA,77826920
MA,1923325
MD,7845395
ME,4266990
MI,72525711
MN,87232529
MO,516410999
MS,117968293
MT,115378366
NC,221209897
ND,305658439
NE,181237008
NH,55332
NJ,4490920
NM,10132114
NV,20063041
NY,46019675
OH,180710541
OK,125481806
OR,48953586
PA,25519677
RI,62868
SC,125415251
SD,178700270
TN,44244167
TX,507917583
UT,3097991
VA,33420605
VT,3355814
WA,182774666
WI,50728101
WV,1142128
WY,6702037
