State_Abv,State_Code,State_Loss
AK,2,64402
AL,1,35494154
AR,5,151894555
AZ,4,12962135
CA,6,542361665
CO,8,100121805
CT,9,1721451
DE,10,2296797
FL,12,37317276
GA,13,93216138
HI,15,215633
IA,19,142207674
ID,16,59347731
IL,17,450864704
IN,18,391340550
KS,20,342902570
KY,21,90530443
LA,22,77826920
MA,25,1923325
MD,24,7845395
ME,23,4266990
MI,26,72525711
MN,27,87232529
MO,29,516410999
MS,28,117968293
MT,30,115378366
NC,37,221209897
ND,38,305658439
NE,31,181237008
NH,33,55332
NJ,34,4490920
NM,35,10132114
NV,32,20063041
NY,36,46019675
OH,39,180710541
OK,40,125481806
OR,41,48953586
PA,42,25519677
RI,44,62868
SC,45,125415251
SD,46,178700270
TN,47,44244167
TX,48,507917583
UT,49,3097991
VA,51,33420605
VT,50,3355814
WA,53,182774666
WI,55,50728101
WV,54,1142128
WY,56,6702037
